key,en,ru
ui_pause,Pause,Пауза
ui_retry,Retry,Еще Раз
ui_continue,Continue,Продолжить
ui_key_none,No Key,Нет Клавиши
ui_fullscreen,Full Screen,Полный Экран
ui_particles,Enable Particles,Включить Частицы
ui_screenshake,Enable Screenshake,Включить Тряску
ui_sound_settings,Sound,Звук
ui_other_settings,Other,Другие
ui_key_bindings,Key Bindings,Управление
ui_master_volume,Master,Общий
ui_music_volume,Music,Музыка
ui_sfx_volume,SFX,Эффекты
ui_speech_volume,Speech,Голос
ui_start_game,Start,Старт
ui_settings,Settings,Настройки
ui_tutorial,Tutorial,Как Играть
ui_credits,Credits,Благодарности
ui_back_to_title,Back,Назад
ui_quit,Quit,Выход
ui_shop_title,"Upgrades","Улучшения"
ui_new_run,"Descend Again","Погрузиться Снова"
ui_powerup_title,"Powerup:","Бонус:"
key_ui_up,Up,Вверх
key_ui_down,Down,Вниз
key_ui_left,Left,Влево
key_ui_right,Right,Вправо
key_ui_accept,Interact,Действие
key_system_pause,Pause,Пауза
txt_credits,"Thank you for playing","Спасибо за то что играли"
txt_tutorial,"How to play","Как играть"
txt_score_title,"[center]Expedition #%d complete![/center]","[center]Экспедиция №%d завершена![/center]"
txt_treasure_count,"[right]  %d [img]res://assets/art/treasure_icon.tres[/img][/right]",
txt_treasure_count_plus,"[right]+ %d [img]res://assets/art/treasure_icon.tres[/img][/right]",
txt_treasure_count_right,"[right]  %d [img]res://assets/art/treasure_icon.tres[/img][/right]",
txt_up_purchased,"[right]Purchased[/right]","[right]Куплено[/right]"
txt_run_title,"Expedition #%d has begun!","Экспедиция №%d началась!"
txt_milestone,"%dm",
txt_current_distance,"%dm",
txt_action_unknown,"unknown",
txt_action_ascend,"Ascend","Всплытие"
txt_action_descend,"Descend","Погружение"
txt_action_special,"Powerup","Предмет"
txt_action_hint_unknown,"[%s] to activate","[%s] активировать"
txt_action_hint_ascend,"[%s] to ascend","[%s] всплытие"
txt_action_hint_descend,"[%s] to descend","[%s] погружение"
txt_action_hint_special,"[%s] to use powerup","[%s] использовать бонус"
txt_action_hint_no_special,"No powerup to use","Нет бонуса для использования"
txt_power_hp_up,"+1 hp","+1 hp"
txt_power_speed_up,"speed up","ускорение"
txt_power_speed_down,"slow down","замедление"
txt_power_vspeed_up,"+ maneuverability","+ маневренность"
txt_power_oxygen_up,"+30sec oxygen","+30сек кислорода"
txt_no_lives,"Critical damage! Resurface!","Повреждения критические! Всплываем!"
txt_no_oxygen,"Out of oxygen! Resurface!","Кончается кислород! Всплываем!"
txt_up_health1,"Hull Upgrade I","Корпус I"
txt_up_health2,"Hull Upgrade II","Корпус II"
txt_up_health3,"Hull Upgrade III","Корпус III"
txt_up_health1_d,"Tighten all bolts before submersion.\n+1 hit point.","Затянем все болты перед погружением.\n+1 очко здоровья"
txt_up_health2_d,"Replace all rusty metal plates.\n+1 hit point.","Заменяем все ржавые листы металла.\n+1 очко здоровья."
txt_up_health3_d,"Hide a four-leaf clover somewhere in there.\n+1 hit point.","Спрячу-ка я четырехлистный клевер где-то на борту.\n+1 очко здоровья."
txt_up_oxygen1,"Oxygen Upgrade I","Кислород I"
txt_up_oxygen2,"Oxygen Upgrade II","Кислород II"
txt_up_oxygen3,"Oxygen Upgrade III","Кислород III"
txt_up_oxygen1_d,"Take a deep breath before submersion.\n+60 seconds of oxygen.","Глубоко вдохнуть перед погружением.\n+60 сек кислорода."
txt_up_oxygen2_d,"Extra can of compressed air.\n+60 seconds of oxygen.","Дополнительная канистра с кислородом.\n+60 сек кислорода."
txt_up_oxygen3_d,"Get some potted plants.\n+120 seconds of oxygen.","Поставим пару цветков в горшочках.\n+120 сек кислорода."
txt_up_vspeed1,"Maneuverability Upgrade I","Маневренность I"
txt_up_vspeed2,"Maneuverability Upgrade II","Маневренность II"
txt_up_vspeed3,"Maneuverability Upgrade III","Маневренность III"
txt_up_vspeed1_d,"Press the button a bit harder.\n+20% maneuverability.","Буду жать на кнопки чуть сильнее.\n+20% маневренность."
txt_up_vspeed2_d,"Perform regular engine maintenance.\n+20% maneuverability.","Регулярный техосмотр перед погружением.\n+20% маневренность."
txt_up_vspeed3_d,"Better fuel.\n+10% maneuverability.","Заправлять топливо получше.\n+10% маневренность."
txt_up_finish,"The Best Upgrade","Самое главное улучшение"
txt_up_finish_d,"You really-really want this.","Вы очень-очень его хотите."
ui_tutorial_1,"Meet Robisnon. You'll be playing as this little goofball on their quest to claim underwater riches. Use [%s], [%s], [%s] and [%s] to move around. Use [%s] to interact.","Встречайте Робинзона. Вы будете играть этим маленьким парнем и поможете ему со сбором подводных сокровищ. Используйте кнопки [%s], [%s], [%s] и [%s] для передвижения. Нажимайте [%s] чтобы взаимодействовать с чем-то."
ui_tutorial_2,"And this is SS \"Keanu\". Robinson's trusty submarine. Robinson has no crewmates, and must man Keanu by themselves. Unfortunatelly, Keanu is a discount submarine, and its controls are all over the place.","А это SS \"Keanu\". Верная подводная лодка Робинзона. У Робинзона нет команды, поэтому ему придется управлять подлодкой самостоятельно. К сожалению, Keanu был куплен на распродаже, и ее кнопки управления разбросаны повсюду."
ui_tutorial_2_1,"Ascend Button","Кнопка всплытия"
ui_tutorial_2_2,"Powerup Button","Кнопка использования бонуса"
ui_tutorial_2_3,"Descend Button","Кнопка погружения"
ui_tutorial_3,"Guess what? You need treasure. And underwater world has plenty of it, for some reason.\nYour submarine will automatically pickup treasure when you bump into it.","А знаете что? Вам нужно собирать сокровища. И под водой этого добра почему-то навалом.\nВаша подлодка автоматически подбирает сокровища, на которые наткнется."
ui_tutorial_4,"Guess what else? There's some wildlife minding their own business underwater. And Keanu isn't a very durable vessel. So avoid these critters, because smashing into them isn't humane, but also will damage your submarine.","А знаете еще что? Под водой живут всякие животные. А Keanu не очень прочное судно. Так что избегайте этих существ, потому что врезаться в них не только негуманно, но и чревато повреждениями."
ui_tutorial_5,"Sometimes you'll come across these things. They contain various powerups, which will help you on your quest. You can hold only one powerup at a time, and picking a powerup will replace your current one.","Иногда вам могут повстречаться вот такие штуки. В них содержатся всякие бонусы, которые помогут вам в вашем приключении. У вас есть место только под один бонус. Подняв новый бонус, вы потеряете старый."
ui_tutorial_6,"Keep an eye on your oxygen levels. If you run out of oxygen, you'll have to resurface, and restart your expedition.","Следите за своим кислородом. Если он кончится, то вам придется всплыть на поверхность и начать экспедицию заново."
ui_tutorial_7,"Once your expedition ends, you'll have a chance to get some upgrades in the shop, given that you have collected enough treasure and explored far enough in the ocean.","Когда ваша экспедиция заканчивается, у вас будет возможность прикупить улучшений в магазине, при условии что вам хватает сокровищ и вы достаточно продвинулись в своих исследованиях."
ui_win_title,"You won!","Вы победили!"
ui_win_message,"It took Robinson %d expeditions, but they finally gathered enough treasure. Now they can pay off their student loans, get a PS5 for every family member, buy out their grandfather's farm, and live happily after.\nThank you for playing!","Робинзону понадобилось %d экспедиций, но он собрал достаточно сокровищ. Теперь он может оплатить свой студенческий займ, добыть PS5 каждому члену семьи, выкупить ферму своего дедушки и жить долго и счастливо.\nСпасибо за игру!"
